,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,User_Score,Total_Shipped,Year
65,the legend of zelda breath of the wild,Action Adventure,E10,NS,Nintendo,9.9,10.0,11.68,2017.0
66,super mario land 2 6 golden coins,Platform,E,GB,Nintendo,9.0,8.310770234986945,11.18,1992.0
67,grand theft auto iv,Action,M,X360,Rockstar Games,10.0,9.0,1.8158729063132706,2008.0
68,super mario 64 ds,Platform,E,DS,Nintendo,8.6,8.310770234986945,11.06,2004.0
69,terraria,Platform,T,PC,Unknown,8.8,8.310770234986945,11.0,2011.0
70,fifa 17,Sports,E,PS4,Electronic Arts,8.9,8.310770234986945,1.8158729063132706,2016.0
71,gran turismo,Racing,E,PS,Sony Computer Entertainment,9.5,9.5,10.85,1998.0
72,call of duty modern warfare 2,Shooter,M,PS3,Activision,9.5,9.0,1.8158729063132706,2009.0
73,grand theft auto iv,Action,M,PS3,Rockstar Games,10.0,9.0,1.8158729063132706,2008.0
74,super mario all stars,Platform,E,SNES,Nintendo,7.192271689340214,9.5,10.55,1993.0
75,call of duty ghosts,Shooter,M,X360,Activision,6.9,8.310770234986945,1.8158729063132706,2013.0
76,just dance 3,Misc,E10,Wii,Ubisoft,7.5,8.310770234986945,1.8158729063132706,2011.0
77,call of duty ghosts,Shooter,M,PS3,Activision,7.5,8.310770234986945,1.8158729063132706,2013.0
78,horizon zero dawn,Action,T,PS4,Sony Interactive Entertainment,9.1,8.0,10.0,2017.0
79," pikachueevee""",Role Playing,E,NS,Nintendo,7.192271689340214,8.310770234986945,10.0,2018.0
80,rollercoaster tycoon 3,Strategy,E,PC,Atari,8.3,8.310770234986945,10.0,2004.0
81,halo reach,Shooter,M,X360,Microsoft Game Studios,9.3,8.310770234986945,1.8158729063132706,2010.0
82,portal,Shooter,T,PC,Valve Corporation,9.0,8.310770234986945,9.97,2008.0
83,halo 4,Shooter,M,X360,Microsoft Studios,7.192271689340214,8.310770234986945,1.8158729063132706,2012.0
84,final fantasy vii,Role Playing,T,PS,Sony Computer Entertainment,9.6,9.5,9.9,1997.0
85,mario kart 64,Racing,E,N64,Nintendo,8.5,8.310770234986945,9.87,1997.0
86,starcraft,Strategy,T,PC,Blizzard Entertainment,8.7,8.310770234986945,9.5,1998.0
87,super smash bros for 3ds,Fighting,E10,3DS,Nintendo,8.4,8.310770234986945,9.45,2014.0
88,call of duty 4 modern warfare,Shooter,M,X360,Activision,9.6,9.0,1.8158729063132706,2007.0
89,gran turismo 2,Racing,E,PS,Sony Computer Entertainment,9.2,8.310770234986945,9.37,1999.0
90,wii party,Misc,E,Wii,Nintendo,7.0,8.310770234986945,9.32,2010.0
91,call of duty black ops iiii,Shooter,M,PS4,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2018.0
92,mario party ds,Misc,E,DS,Nintendo,7.1,8.310770234986945,9.31,2007.0
93,donkey kong country,Platform,E,SNES,Nintendo,9.0,8.310770234986945,9.3,1994.0
94,fifa 19,Sports,E,PS4,Electronic Arts,5.9,8.310770234986945,1.8158729063132706,2018.0
95,marvels spider man,Action Adventure,T,PS4,Sony Interactive Entertainment,9.1,8.310770234986945,9.0,2018.0
96,half life 2,Shooter,M,PC,VU Games,9.7,8.310770234986945,8.88,2004.0
97,the elder scrolls v skyrim,Role Playing,M,X360,Bethesda Softworks,9.3,9.1,1.8158729063132706,2011.0
98,mario party 8,Misc,E,Wii,Nintendo,6.5,8.310770234986945,8.85,2007.0
99,super mario kart,Racing,E,SNES,Nintendo,10.0,8.310770234986945,8.76,1992.0
100,grand theft auto v,Action,M,XOne,Rockstar Games,9.0,9.0,12.6,2014.0
101,uncharted 4 a thiefs end,Action,T,PS4,Sony Interactive Entertainment,9.2,8.310770234986945,8.7,2016.0
102,final fantasy viii,Role Playing,T,PS,Square EA,9.4,8.310770234986945,8.6,1999.0
103,final fantasy x,Role Playing,T,PS2,Square,9.0,10.0,8.6,2001.0
104,pokemon black 2 and white 2,Role Playing,E,DS,Nintendo,8.0,8.3,8.52,2012.0
105,call of duty infinite warfare,Shooter,M,PS4,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2016.0
106,fallout 4,Role Playing,M,PS4,Bethesda Softworks,8.6,8.310770234986945,1.8158729063132706,2015.0
107,mario kart 8,Racing,E,WiiU,Nintendo,8.8,8.310770234986945,8.42,2014.0
108,tekken 3,Fighting,T,PS,Namco,9.6,8.310770234986945,8.3,1998.0
109,pokemon ultra sun and ultra moon,Role Playing,E,3DS,Nintendo,8.1,8.310770234986945,8.28,2017.0
110,splatoon 2,Shooter,E10,NS,Nintendo,8.2,8.310770234986945,8.27,2017.0
111,fifa 16,Sports,E,PS4,EA Sports,8.5,8.310770234986945,1.8158729063132706,2015.0
112,goldeneye 007,Shooter,T,N64,Nintendo,9.8,8.310770234986945,8.09,1997.0
113,star wars battlefront 2015,Shooter,T,PS4,Electronic Arts,7.1,8.310770234986945,1.8158729063132706,2015.0
114,fifa 13,Sports,E,PS3,EA Sports,7.0,8.310770234986945,1.8158729063132706,2012.0
115,halo 2,Shooter,M,XB,Microsoft Game Studios,9.6,8.310770234986945,8.0,2004.0
116,the sims 3,Simulation,T,PC,Electronic Arts,8.5,8.310770234986945,1.8158729063132706,2009.0
117,grand theft auto liberty city stories,Action,M,PSP,Rockstar Games,8.8,8.310770234986945,1.8158729063132706,2005.0
118,pokemon platinum version,Role Playing,E,DS,Nintendo,8.3,8.9,7.6,2009.0
119,the legend of zelda ocarina of time,Adventure,E,N64,Nintendo,9.9,10.0,7.6,1998.0
120,crash bandicoot 2 cortex strikes back,Platform,E,PS,Sony Computer Entertainment,8.6,8.310770234986945,1.8158729063132706,1997.0
121,call of duty advanced warfare,Shooter,M,PS4,Activision,8.5,8.310770234986945,1.8158729063132706,2014.0
