,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,User_Score,Total_Shipped,Year
6566,divinity ii ego draconis,Role Playing,M,X360,CDV Software Entertainment,6.0,8.310770234986945,1.8158729063132706,2010.0
6567,prince of persia the forgotten sands,Action,T,Wii,Ubisoft,7.5,8.310770234986945,1.8158729063132706,2010.0
6568,scrabble others sales,Puzzle,E,DS,Electronic Arts,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6569,afro samurai,Action,M,X360,Namco Bandai,6.4,8.310770234986945,1.8158729063132706,2009.0
6570,disneys a christmas carol,Adventure,E,DS,Disney Interactive Studios,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6571,imagine zookeeper,Simulation,E,DS,Ubisoft,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6572,grand slam tennis 2,Sports,E,PS3,EA Sports,7.192271689340214,8.310770234986945,1.8158729063132706,2012.0
6573,killer is dead,Action,M,PS3,Xseed Games,7.192271689340214,8.310770234986945,0.55,2013.0
6574,are you smarter than a 5th grader game time,Puzzle,E,DS,THQ,4.0,8.310770234986945,1.8158729063132706,2009.0
6575,metro 2033,Shooter,M,PC,THQ,7.5,8.310770234986945,1.8158729063132706,2010.0
6576,nascar 08,Racing,E,PS2,EA Sports,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6577,payday 2,Shooter,M,XOne,505 Games,5.75,8.310770234986945,1.8158729063132706,2015.0
6578,dc universe online,MMO,T,PC,Sony Online Entertainment,7.0,8.310770234986945,1.8158729063132706,2011.0
6579,hot shots tennis get a grip,Sports,E,PSP,Sony Computer Entertainment,8.0,8.310770234986945,1.8158729063132706,2010.0
6580,naruto path of the ninja 2,Role Playing,E10,DS,D3 Publisher,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6581,karaoke revolution volume 2,Misc,E,PS2,Konami,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6582,wallace amp gromit in project zoo,Platform,E,PS2,BAM! Entertainment,6.6,8.310770234986945,1.8158729063132706,2003.0
6583,harry potter and the goblet of fire,Adventure,E10,DS,Electronic Arts,6.666666666666667,8.310770234986945,1.8158729063132706,2005.0
6584,skylanders superchargers racing,Action Adventure,E10,Wii,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2015.0
6585,street fighter ex2 plus,Fighting,T,PS,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,1999.0
6586,viva pinata party animals,Misc,E,X360,Microsoft Game Studios,5.5,8.310770234986945,1.8158729063132706,2007.0
6587,zumba fitness world party,Misc,E,Wii,Majesco Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2013.0
6588,the lord of the rings aragorns quest,Action,T,Wii,Warner Bros. Interactive,6.4,8.310770234986945,1.8158729063132706,2010.0
6589,sands of destruction,Role Playing,T,DS,Sega,6.5,8.310770234986945,1.8158729063132706,2010.0
6590,jet x20,Racing,E,PS2,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6591,cabelas outdoor adventures 2009,Sports,T,PS3,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6592,nascar thunder 2004,Racing,E,XB,EA Sports,7.192271689340214,8.310770234986945,1.8158729063132706,2003.0
6593,buffy the vampire slayer,Action,T,XB,Electronic Arts,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6594,wipeout 2,Misc,E,3DS,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2011.0
6595,harry potter and the goblet of fire,Adventure,E10,XB,Electronic Arts,6.7,8.310770234986945,1.8158729063132706,2005.0
6596,the club,Shooter,M,PS3,Sega,7.5,8.310770234986945,1.8158729063132706,2008.0
6597,angry birds,Puzzle,E,PC,Unknown,7.5,8.310770234986945,1.8158729063132706,2011.0
6598,madden nfl 12,Sports,E,PSP,EA Sports,7.533333333333334,8.310770234986945,1.8158729063132706,2011.0
6599,hotel for dogs,Simulation,E,DS,505 Games,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6600,dynasty warriors gundam reborn,Action,T,PS3,Namco Bandai Games,7.192271689340214,8.310770234986945,1.8158729063132706,2014.0
6601,spec ops the line,Shooter,RP,PC,2K Games,7.192271689340214,8.310770234986945,1.8158729063132706,2012.0
6602,megamind mega team unite,Adventure,E10,Wii,THQ,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6603,rock band track pack volume 1,Misc,T,Wii,MTV Games,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6604,carnival island,Misc,E,PS3,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2011.0
6605,cross edge,Role Playing,T,PS3,NIS America,5.4,8.310770234986945,1.8158729063132706,2009.0
6606,puss in boots,Misc,E10,X360,THQ,7.192271689340214,8.310770234986945,1.8158729063132706,2011.0
6607,rock band country track pack,Misc,E10,X360,MTV Games,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6608,world series baseball,Sports,E,XB,Sega,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6609,attack on titan 2,Action,M,NS,Koei Tecmo,7.0,8.310770234986945,1.8158729063132706,2018.0
6610,tony hawks pro skater 5,Sports,T,PS4,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2015.0
6611,test drive eve of destruction,Racing,T,PS2,Atari,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6612,starsky amp hutch,Racing,T,XB,Gotham Games,6.0,8.310770234986945,1.8158729063132706,2003.0
6613,jeremy mcgrath supercross world,Racing,T,PS2,Acclaim Entertainment,2.7,8.310770234986945,1.8158729063132706,2001.0
6614,jewels of the tropical lost island,Puzzle,E,DS,City Interactive,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6615,rock band track pack volume 2,Misc,T,Wii,MTV Games,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6616,meteos,Puzzle,E,DS,Nintendo,8.8,8.310770234986945,1.8158729063132706,2005.0
6617,the scorpion king rise of the akkadian,Action,T,PS2,Universal Interactive,5.2,8.310770234986945,1.8158729063132706,2002.0
6618,wwe all stars,Action,T,3DS,THQ,7.0,8.310770234986945,1.8158729063132706,2011.0
6619,all star baseball 2001,Sports,E,N64,Acclaim Entertainment,9.2,8.310770234986945,1.8158729063132706,2000.0
6620,star wars jedi knight ii jedi outcast,Shooter,T,GC,LucasArts,7.1,8.310770234986945,1.8158729063132706,2002.0
6621,tom clancys splinter cell,Action,T,GC,Ubisoft,9.3,9.1,1.8158729063132706,2003.0
6622,angry birds star wars,Puzzle,E,PS4,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2013.0
6623,elex,Role Playing,M,PS4,THQ Nordic,7.192271689340214,8.310770234986945,0.25,2017.0
6624,espn nhl hockey,Sports,E,PS2,Sega,7.192271689340214,8.310770234986945,1.8158729063132706,2003.0
6625,harvest moon gb,Simulation,E,GB,Natsume,7.192271689340214,8.310770234986945,1.8158729063132706,1998.0
6626,dirt showdown,Racing,E10,X360,Codemasters,7.192271689340214,8.310770234986945,1.8158729063132706,2012.0
6627,sherlock holmes and the mystery of osborne house,Adventure,E10,DS,THQ,7.192271689340214,8.310770234986945,1.8158729063132706,2011.0
6628,the incredible hulk ultimate destruction,Action,T,XB,VU Games,8.7,8.310770234986945,1.8158729063132706,2005.0
6629,ncaa gamebreaker 2003,Sports,E,PS2,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6630,gundam battle assault,Fighting,T,PS,Bandai,7.192271689340214,8.310770234986945,1.8158729063132706,2000.0
6631,tony hawks downhill jam,Sports,E10,Wii,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2006.0
6632,virtua fighter kids,Fighting,T,SAT,Sega,6.6,8.310770234986945,1.8158729063132706,1996.0
6633,madagascar escape 2 africa,Action,E10,PS3,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6634,rocket power beach bandits,Platform,E,GC,THQ,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6635,rigs mechanized combat league,Action,T,PS4,Sony Interactive Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2016.0
6636,shaun white snowboarding,Sports,E10,DS,Ubisoft,6.2,8.310770234986945,1.8158729063132706,2008.0
6637,looney tunes acme arsenal,Action,E10,Wii,Warner Bros. Interactive,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6638,mampms kart racing,Racing,E,Wii,DSI Games,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6639,tom clancys rainbow six rogue spear,Shooter,T,PS,Red Storm Entertainment,8.0,8.310770234986945,1.8158729063132706,2001.0
6640,nhl faceoff 2001,Sports,E,PS,Sony Computer Entertainment,7.2,8.310770234986945,1.8158729063132706,2000.0
6641,me amp my katamari,Puzzle,E,PSP,Namco,7.2,8.310770234986945,1.8158729063132706,2006.0
6642,yu gi oh gx duel academy,Misc,E,GBA,Konami,7.192271689340214,8.310770234986945,1.8158729063132706,2006.0
6643,tribes aerial assault,Shooter,T,PS2,Sierra Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6644,ultimate band,Misc,E,DS,Disney Interactive Studios,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6645,colony wars vengeance,Simulation,E,PS,Psygnosis,8.6,8.310770234986945,1.8158729063132706,1998.0
6646,madden nfl 06,Sports,E,GBA,EA Sports,8.35,8.310770234986945,1.8158729063132706,2005.0
6647,family fest presents movie games,Action,E10,Wii,Ubisoft,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6648,nascar 08,Racing,E,PS3,EA Sports,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6649,perfect weapon,Action,T,PS,ASC Games,7.192271689340214,8.310770234986945,1.8158729063132706,1996.0
6650,corpse party blood drive,Adventure,M,PSV,Xseed Games,7.192271689340214,8.310770234986945,1.8158729063132706,2015.0
6651,nba 2k6,Action,E,X360,2K Sports,8.0,8.310770234986945,1.8158729063132706,2005.0
6652,hello kitty seasons,Adventure,E,Wii,Zoo Games,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6653,major league baseball 2k10,Sports,E,PS2,2K Sports,5.94,8.310770234986945,1.8158729063132706,2010.0
6654,trackmania build to race,Racing,E,Wii,City Interactive,7.0,8.310770234986945,1.8158729063132706,2011.0
6655,mafia,Action,M,XB,Gathering of Developers,7.85,8.310770234986945,1.8158729063132706,2004.0
6656,ssx on tour,Sports,E,PSP,EA Sports BIG,8.2,8.310770234986945,1.8158729063132706,2005.0
6657,madden nfl 13,Sports,E,WiiU,EA Sports,7.2,8.310770234986945,1.8158729063132706,2012.0
6658,whats cooking jamie oliver,Simulation,E,DS,Atari,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6659,hannah montana the movie,Adventure,E,PS3,Disney Interactive Studios,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6660,airblade,Sports,T,PS2,Namco,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6661,dynasty warriors strikeforce,Action,T,X360,Tecmo Koei,7.3,8.310770234986945,1.8158729063132706,2010.0
6662,mega man amp bass,Platform,E,GBA,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,2003.0
6663,anno 2205,Strategy,E10,PC,Ubisoft,7.192271689340214,8.310770234986945,1.8158729063132706,2015.0
6664,transformer rise of the dark spark,Shooter,T,PS4,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2014.0
6665,mortal kombat armageddon,Fighting,M,Wii,Midway Games,6.8,8.310770234986945,1.8158729063132706,2007.0
6666,neopets puzzle adventure,Puzzle,E,Wii,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6667,pinball hall of fame the gottlieb collection,Misc,E,PSP,Crave Entertainment,7.2,8.310770234986945,1.8158729063132706,2005.0
6668,world series of poker 2008 battle for the bracelets,Action,T,PS2,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6669,bass pro shops the hunt,Sports,T,Wii,XS Games,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6670,genji dawn of the samurai,Action,M,PS2,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2005.0
6671,critical depth,Action,T,PS,GT Interactive,7.192271689340214,8.310770234986945,1.8158729063132706,1997.0
6672,barbie as the island princess,Adventure,E,GBA,Activision,5.5,8.310770234986945,1.8158729063132706,2007.0
6673,cars 2,Racing,E,3DS,Disney Interactive Studios,7.375,8.310770234986945,1.8158729063132706,2011.0
6674,deca sports 3,Sports,E,Wii,Hudson Soft,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6675,rune factory tides of destiny,Simulation,E10,PS3,Natsume,6.5,8.310770234986945,1.8158729063132706,2011.0
6676,mega man battle network 5 team colonel,Role Playing,E,GBA,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6677,the italian job,Racing,T,PS2,Eidos Interactive,7.192271689340214,8.310770234986945,1.8158729063132706,2003.0
6678,pitfall the big adventure,Adventure,E,Wii,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6679,barbie and the three musketeers,Adventure,E,Wii,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6680,lunar knights,Role Playing,E10,DS,Konami,8.2,8.310770234986945,1.8158729063132706,2007.0
6681,ys seven,Role Playing,T,PSP,Xseed Games,7.6,8.310770234986945,1.8158729063132706,2010.0
6682,freedom fighters,Shooter,T,XB,Electronic Arts,8.8,8.310770234986945,1.8158729063132706,2003.0
6683,soldier of fortune ii double helix,Shooter,M,XB,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2003.0
6684,disney princess enchanted journey,Adventure,E,PS2,Disney Interactive Studios,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6685,hot wheels beat that,Racing,E,DS,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6686,sniper ghost warrior 3,Shooter,M,PC,City Interactive,7.192271689340214,8.310770234986945,0.23,2017.0
6687,alundra,Role Playing,T,PS,Working Designs,8.8,8.310770234986945,1.8158729063132706,1997.0
6688,bratz girlz really rock,Action,E,PS2,THQ,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6689,rampage 2 universal tour,Action,T,PS,Midway Games,7.192271689340214,8.310770234986945,1.8158729063132706,1999.0
6690,blowout,Shooter,T,PS2,Majesco,6.5,8.310770234986945,1.8158729063132706,2003.0
6691,nfl blitz pro,Sports,E,PS2,Midway Games,7.192271689340214,8.310770234986945,1.8158729063132706,2003.0
6692,tiger woods pga tour 2003,Sports,E,GC,EA Sports,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6693,the evil within 2,Action,M,PC,Bethesda Softworks,7.192271689340214,8.310770234986945,0.23,2017.0
6694,new carnival games,Misc,E,DS,2K Games,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6695,i love horses,Simulation,E,DS,Bold Games,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6696,pocket fighter,Fighting,T,PS,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,1998.0
6697,bicycle casino 2005,Misc,E,XB,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6698,hooked real motion fishing,Sports,E,Wii,Aksys Games,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6699,ncaa football 09,Sports,E,PSP,EA Sports,6.5,8.310770234986945,1.8158729063132706,2008.0
6700,.hack,Role Playing,T,PS2,Namco Bandai,6.2,8.310770234986945,1.8158729063132706,2007.0
6701,ac,Misc,T,X360,MTV Games,6.7,8.310770234986945,1.8158729063132706,2008.0
6702,tony hawks proving ground,Sports,E10,DS,Activision,7.2,8.310770234986945,1.8158729063132706,2007.0
6703,ncaa gamebreaker 2004,Sports,E,PS2,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2003.0
6704,need for speed undercover,Racing,E10,DS,Electronic Arts,5.866666666666667,8.310770234986945,1.8158729063132706,2008.0
6705,valhalla knights 2,Role Playing,E10,PSP,Xseed Games,5.0,8.310770234986945,1.8158729063132706,2008.0
6706,the polar express,Adventure,E,PS2,THQ,3.3,8.310770234986945,1.8158729063132706,2004.0
6707,lego the hobbit,Action Adventure,E10,WiiU,Warner Bros. Interactive Entertainment,7.0,8.310770234986945,1.8158729063132706,2014.0
6708,spider man edge of time,Action,T,PS3,Activision,5.65,8.310770234986945,1.8158729063132706,2011.0
6709,scribblenauts unmasked a dc comics adventure,Puzzle,E10,PC,Warner Bros. Interactive Entertainment,7.192271689340214,8.310770234986945,0.23,2013.0
6710,buzz junior robojam,Misc,E,PS2,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6711,tetris attack,Puzzle,E,GB,Nintendo,7.192271689340214,8.310770234986945,1.8158729063132706,1996.0
6712,no mans sky,Action Adventure,T,XOne,505 Games,6.8,8.310770234986945,1.4,2018.0
6713,nba shootout 2003,Sports,E,PS2,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6714,shinobi,Platform,T,3DS,Sega,7.0,8.310770234986945,1.8158729063132706,2011.0
6715,the crew,Racing,T,X360,Ubisoft,7.192271689340214,8.310770234986945,1.8158729063132706,2014.0
6716,metal gear survive,Action,M,PS4,Konami Digital Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2018.0
6717,justice league heroes,Role Playing,T,PSP,Warner Bros. Interactive,7.192271689340214,8.310770234986945,1.8158729063132706,2006.0
6718,silent hill book of memories,Action,M,PSV,Konami Digital Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2012.0
6719,digimon world ds jp sales,Role Playing,E10,DS,Namco Bandai,7.192271689340214,8.310770234986945,1.8158729063132706,2006.0
6720,jersey devil,Platform,E,PS,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,1998.0
6721,nhl faceoff 2003,Sports,E,PS2,Sony Computer Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6722,risen 2 dark waters,Role Playing,M,PS3,Deep Silver,5.5,8.310770234986945,0.71,2012.0
6723,vancouver 2010 the official video game of the olympic winter games,Sports,E,X360,Sega,5.0,8.310770234986945,1.8158729063132706,2010.0
6724,rogue ops,Action,M,PS2,Kemco,6.1,8.310770234986945,1.8158729063132706,2003.0
6725,dirt 4,Racing,T,XOne,Deep Silver,7.192271689340214,5.5,1.8158729063132706,2017.0
6726,naruto shippuden ultimate ninja storm revolution,Fighting,T,X360,Namco Bandai Games,7.192271689340214,8.310770234986945,0.36,2014.0
6727,skylanders imaginators,Platform,E10,NS,Activision,6.9,8.310770234986945,1.8158729063132706,2017.0
6728,family party 30 great games winter fun,Sports,E,Wii,D3 Publisher,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6729,singstar celebration,Music,T,PS4,Sony Interactive Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2017.0
6730,101 in 1 party megamix wii,Misc,E10,Wii,Atlus,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6731,legion the legend of excalibur,Action,M,PS2,Midway Games,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6732,kung fu panda 2,Action,E,DS,THQ,3.0,8.310770234986945,1.8158729063132706,2011.0
6733,hitman absolution,Action,M,PC,Square Enix,9.0,8.310770234986945,1.8158729063132706,2012.0
6734,pro evolution soccer 2011,Sports,E,Wii,Konami,6.0,8.310770234986945,1.8158729063132706,2010.0
6735,tna impact,Fighting,T,PS2,Midway Games,6.1,8.310770234986945,1.8158729063132706,2008.0
6736,ultimate duck hunting hunting amp retrieving ducks,Sports,T,Wii,Detn8 Games,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6737,nba street showdown,Sports,E,PSP,Electronic Arts,7.5,8.310770234986945,1.8158729063132706,2005.0
6738,def jam fight for ny,Action,M,GC,Electronic Arts,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6739,spartan total warrior,Action,M,PS2,Sega,7.2,8.310770234986945,1.8158729063132706,2005.0
6740,mary kate and ashley sweet 16 licenced to drive,Misc,E,GC,Acclaim Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2003.0
6741,conflict vietnam,Shooter,M,XB,Global Star Software,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6742,whirl tour,Sports,E,PS2,VU Games,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6743,dancedancerevolution ii,Misc,E10,Wii,Konami,7.192271689340214,8.310770234986945,1.8158729063132706,2011.0
6744,time crisis crisis zone,Shooter,T,PS2,Namco,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6745,ben 10 ultimate alien cosmic destruction,Platform,E10,PS2,D3 Publisher,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6746,g force,Action,E10,PS3,Disney Interactive Studios,7.4,8.310770234986945,1.8158729063132706,2009.0
6747,nba live 15,Sports,E,XOne,Electronic Arts,7.192271689340214,8.310770234986945,1.8158729063132706,2014.0
6748,skies of arcadia legends,Role Playing,T,GC,Sega,8.6,8.310770234986945,1.8158729063132706,2003.0
6749,petz monkeyz house,Simulation,E,DS,Ubisoft,5.5,8.310770234986945,1.8158729063132706,2008.0
6750,motogp 08,Racing,E,PS2,Capcom,6.8,8.310770234986945,1.8158729063132706,2008.0
6751,cloudy with a chance of meatballs,Adventure,E,DS,Ubisoft,6.466666666666666,8.310770234986945,1.8158729063132706,2009.0
6752,code name steam,Strategy,T,3DS,Nintendo,8.0,8.310770234986945,1.8158729063132706,2015.0
6753,facebreaker ko party,Fighting,T,Wii,Electronic Arts,6.7,8.310770234986945,1.8158729063132706,2008.0
6754,dead by daylight,Action,M,PS4,505 Games,7.192271689340214,8.310770234986945,1.8158729063132706,2017.0
6755,breath of fire,Role Playing,E,GBA,Capcom,7.8,8.310770234986945,1.8158729063132706,2001.0
6756,nascar 2011 the game,Racing,E,Wii,Activision,4.3,8.310770234986945,1.8158729063132706,2011.0
6757,attack on titan 2,Action,M,PS4,Koei Tecmo,7.8,8.310770234986945,1.8158729063132706,2018.0
6758,ford vs chevy,Racing,E,PS2,Global Star Software,7.192271689340214,8.310770234986945,1.8158729063132706,2005.0
6759,ncaa football 2005,Sports,E,GC,EA Sports,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6760,child of eden,Shooter,E10,PS3,Ubisoft,7.7,8.310770234986945,1.8158729063132706,2011.0
6761,hamtaro ham ham games,Sports,E,GBA,Nintendo,7.5,8.310770234986945,1.8158729063132706,2004.0
6762,danny phantom the ultimate enemy,Action,E,GBA,THQ,7.5,8.310770234986945,1.8158729063132706,2005.0
6763,discovery kids dolphin discovery,Simulation,E,DS,505 Games,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6764,star wars the force unleashed ii,Action,T,DS,LucasArts,4.0,8.310770234986945,1.8158729063132706,2010.0
6765,rock band track pack classic rock,Misc,T,Wii,MTV Games,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6766,bust a move 4,Puzzle,E,PS,Natsume,7.8,8.310770234986945,1.8158729063132706,1998.0
6767,nfl quarterback club 97,Sports,E,PS,Acclaim Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,1996.0
6768,galactic wrestling featuring ultimate muscle,Fighting,T,PS2,Bandai,7.3,8.310770234986945,1.8158729063132706,2004.0
6769,dino stalker,Shooter,M,PS2,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6770,super swing golf,Sports,E10,Wii,Tecmo,7.192271689340214,8.310770234986945,1.8158729063132706,2006.0
6771,petz rescue endangered paradise,Adventure,E,DS,Ubisoft,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6772,rapalas fishing frenzy,Sports,E,Wii,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6773,age of empires the age of kings,Strategy,E10,DS,Majesco,7.192271689340214,8.310770234986945,1.8158729063132706,2006.0
6774,mega man zero 3,Platform,E,GBA,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6775,life is strange before the storm,Adventure,M,PS4,Square Enix,7.5,8.310770234986945,0.47,2018.0
6776,motogp 09,Racing,E,PS3,Capcom,7.0,8.310770234986945,1.8158729063132706,2010.0
6777,luminous arc 2,Role Playing,T,DS,Atlus,7.5,8.310770234986945,1.8158729063132706,2008.0
6778,barbie super sports,Sports,E,PS,Mattel Interactive,7.192271689340214,8.310770234986945,1.8158729063132706,1999.0
6779,resident evil revelations,Shooter,M,WiiU,Capcom,7.5,8.310770234986945,0.5,2013.0
6780,tony hawks downhill jam,Sports,E,DS,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2006.0
6781,the legend of heroes trails of cold steel ii,Role Playing,T,PS3,Xseed Games,7.192271689340214,8.310770234986945,1.8158729063132706,2016.0
6782,just dance 2016,Music,E10,PS3,Ubisoft,7.192271689340214,8.310770234986945,1.8158729063132706,2015.0
6783,duel masters kaijudo showdown,Misc,E,GBA,Atari,5.8,8.310770234986945,1.8158729063132706,2004.0
6784,worms battle islands,Strategy,E10,Wii,THQ,7.3,8.310770234986945,1.8158729063132706,2010.0
6785,dragon quest builders revive alefgard,Role Playing,E10,NS,Square Enix,8.0,8.310770234986945,1.8158729063132706,2018.0
6786,the lord of the rings the third age,Strategy,T,GBA,Electronic Arts,7.9,8.310770234986945,1.8158729063132706,2004.0
6787,kidz bop dance party the video game,Misc,E,Wii,D3 Publisher,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6788,karaoke revolution glee 2 road to regionals,Misc,T,Wii,Konami,7.192271689340214,8.310770234986945,1.8158729063132706,2011.0
6789,deadpool,Action,M,XOne,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2015.0
6790,the suffering,Action,M,XB,Midway Games,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6791,tetris worlds,Puzzle,E,GC,THQ,4.6,8.310770234986945,1.8158729063132706,2002.0
6792,ecw hardcore revolution,Fighting,M,N64,Acclaim Entertainment,4.8,8.310770234986945,1.8158729063132706,2000.0
6793,mega man 64,Action,E,N64,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,2001.0
6794,ms pac man maze madness,Puzzle,E,N64,Namco,6.9,8.310770234986945,1.8158729063132706,2000.0
6795,rampage 2 universal tour,Action,T,N64,Midway Games,7.192271689340214,8.310770234986945,1.8158729063132706,1999.0
6796,nba live 09 all play,Sports,E,Wii,EA Sports,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6797,the amazing spider man 2 2014,Action Adventure,T,XOne,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2014.0
6798,all star karate,Action,E10,Wii,THQ,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
6799,viewtiful joe 2,Action,T,GC,Capcom,7.192271689340214,8.310770234986945,1.8158729063132706,2004.0
6800,jackass the game,Action,M,PSP,Red Mile Entertainment,5.6,8.310770234986945,1.8158729063132706,2007.0
6801,the legend of heroes trails in the sky fc,Role Playing,T,PSP,Xseed Games,7.192271689340214,8.310770234986945,1.8158729063132706,2011.0
6802,naruto shippuuden ninja council 4,Action,E10,DS,Tomy Corporation,7.192271689340214,8.310770234986945,1.8158729063132706,2009.0
6803,mary kate and ashley sweet 16 licenced to drive,Misc,E,PS2,Acclaim Entertainment,7.192271689340214,8.310770234986945,1.8158729063132706,2002.0
6804,kingdom come deliverance,Role Playing,M,XOne,Deep Silver,7.192271689340214,8.310770234986945,1.1,2018.0
6805,dragon ball origins jp amp incomplete us sales,Adventure,T,DS,Atari,7.192271689340214,8.310770234986945,1.8158729063132706,2008.0
6806,touch the dead,Shooter,M,DS,Eidos Interactive,7.192271689340214,8.310770234986945,1.8158729063132706,2007.0
6807,marvel super hero squad the infinity gauntlet,Action,E10,DS,THQ,4.8,8.310770234986945,1.8158729063132706,2010.0
